Numéro Étudiant,Nom,Prénom,Age,Filière,Email
ST21742,Martin,Ethan,34,Cybersécurité,ethan.martin@student.edu
ST20375,Johnson,Sophia,33,Intelligence Artificielle,sophia.johnson@student.edu
ST22724,Mercier,Amelia,25,Business,amelia.mercier@student.edu
ST24240,Legrand,Adam,19,Cybersécurité,adam.legrand@student.edu
ST24320,Moore,Evelyn,25,Commerce International,evelyn.moore@student.edu
ST24540,Johnson,Olivia,22,Marketing Digital,olivia.johnson@student.edu
ST20663,Fournier,Evelyn,34,Finance,evelyn.fournier@student.edu
ST24149,Martinez,Noah,23,Commerce International,noah.martinez@student.edu
ST20387,Jones,James,33,Management International,james.jones@student.edu
ST29941,Williams,Charlotte,18,Business,charlotte.williams@student.edu
ST28404,Girard,Harper,27,Entrepreneuriat,harper.girard@student.edu
ST23637,Lefevre,Chloé,35,Marketing Digital,chloé.lefevre@student.edu
ST26871,Lefebvre,Arthur,35,Innovation Technologique,arthur.lefebvre@student.edu
ST25472,Fournier,Theodore,22,Intelligence Artificielle,theodore.fournier@student.edu
ST24518,Durand,Olivia,28,Marketing Digital,olivia.durand@student.edu
ST25045,Bonnet,Amelia,22,Business,amelia.bonnet@student.edu
ST27621,Morel,Jules,32,Intelligence Artificielle,jules.morel@student.edu
ST23343,Dubois,Clara,18,Business,clara.dubois@student.edu
ST28946,Bonnet,Theodore,19,Entrepreneuriat,theodore.bonnet@student.edu
ST24358,Thomas,William,23,Intelligence Artificielle,william.thomas@student.edu
ST28160,Bernard,Sarah,18,Management International,sarah.bernard@student.edu
ST22341,Dubois,Alice,23,Marketing Digital,alice.dubois@student.edu
ST21854,Garnier,Lucas,35,Business,lucas.garnier@student.edu
ST20037,Taylor,Chloé,29,Innovation Technologique,chloé.taylor@student.edu
ST24739,Martin,Chloé,21,Commerce International,chloé.martin@student.edu
ST20214,Andre,Louis,20,Commerce International,louis.andre@student.edu
ST29538,Durand,Liam,29,Innovation Technologique,liam.durand@student.edu
ST29576,Moore,Camille,23,Finance,camille.moore@student.edu
ST24807,Garcia,Lucas,26,Entrepreneuriat,lucas.garcia@student.edu
ST20565,Vincent,Henry,29,Innovation Technologique,henry.vincent@student.edu
ST21559,Michel,Charlotte,21,Marketing Digital,charlotte.michel@student.edu
ST22490,Anderson,Louise,19,Entrepreneuriat,louise.anderson@student.edu
ST20920,Petit,William,23,Management International,william.petit@student.edu
ST25675,Taylor,Harper,21,Cybersécurité,harper.taylor@student.edu
ST26914,Girard,Sofia,35,Data Science,sofia.girard@student.edu
ST21068,Andre,Emma,28,Entrepreneuriat,emma.andre@student.edu
ST28573,Bernard,William,28,Innovation Technologique,william.bernard@student.edu
ST27322,Garcia,Clara,33,Finance,clara.garcia@student.edu
ST26620,Vincent,Ethan,32,Cybersécurité,ethan.vincent@student.edu
ST24914,Laurent,Amelia,21,Business,amelia.laurent@student.edu
ST22381,Williams,Louise,20,Innovation Technologique,louise.williams@student.edu
ST21646,Davis,Noah,28,Innovation Technologique,noah.davis@student.edu
ST25930,Bernard,Sofia,18,Intelligence Artificielle,sofia.bernard@student.edu
ST24534,Dubois,Liam,24,Business,liam.dubois@student.edu
ST24692,Williams,Camille,34,Data Science,camille.williams@student.edu
ST24859,Petit,Emma,25,Innovation Technologique,emma.petit@student.edu
ST25022,Faure,Harper,25,Intelligence Artificielle,harper.faure@student.edu
ST29036,Mercier,Oliver,31,Management International,oliver.mercier@student.edu
ST26392,Legrand,Ethan,20,Business,ethan.legrand@student.edu
ST25134,Thomas,Benjamin,21,Business,benjamin.thomas@student.edu
ST29652,Garnier,Arthur,23,Cybersécurité,arthur.garnier@student.edu
ST29762,Andre,Henry,34,Data Science,henry.andre@student.edu
ST23905,Brown,Oliver,26,Entrepreneuriat,oliver.brown@student.edu
ST29557,Bertrand,Oliver,24,Data Science,oliver.bertrand@student.edu
ST26328,Johnson,Mia,21,Finance,mia.johnson@student.edu
ST21396,Robert,Chloé,27,Business,chloé.robert@student.edu
ST20436,Mercier,Abigail,31,Intelligence Artificielle,abigail.mercier@student.edu
ST27194,Vincent,Benjamin,29,Marketing Digital,benjamin.vincent@student.edu
ST24987,Anderson,Isabella,31,Marketing Digital,isabella.anderson@student.edu
ST28444,Moore,Sophia,35,Business,sophia.moore@student.edu
ST24525,Dubois,Arthur,26,Entrepreneuriat,arthur.dubois@student.edu
ST27302,Davis,Mia,30,Innovation Technologique,mia.davis@student.edu
ST25577,Faure,Sarah,31,Cybersécurité,sarah.faure@student.edu
ST27570,Lefebvre,James,23,Finance,james.lefebvre@student.edu
ST21146,Vincent,Liam,33,Data Science,liam.vincent@student.edu
ST23808,Laurent,Olivia,35,Data Science,olivia.laurent@student.edu
ST23138,Simon,Manon,35,Intelligence Artificielle,manon.simon@student.edu
ST27391,Williams,James,29,Management International,james.williams@student.edu
ST25497,Taylor,Chloé,22,Data Science,chloé.taylor@student.edu
ST26819,Garnier,Adam,30,Entrepreneuriat,adam.garnier@student.edu
ST28525,Legrand,Léo,22,Entrepreneuriat,léo.legrand@student.edu
ST29186,Jones,Jack,23,Data Science,jack.jones@student.edu
ST22096,Fournier,Lucas,29,Data Science,lucas.fournier@student.edu
ST21650,Mercier,Sofia,32,Commerce International,sofia.mercier@student.edu
ST29660,Michel,Noah,29,Intelligence Artificielle,noah.michel@student.edu
ST22880,Martinez,Henry,23,Finance,henry.martinez@student.edu
ST25549,Davis,Noah,33,Entrepreneuriat,noah.davis@student.edu
ST27631,Andre,Arthur,33,Intelligence Artificielle,arthur.andre@student.edu
ST26938,Richard,Noah,27,Management International,noah.richard@student.edu
ST26856,Anderson,Amelia,20,Cybersécurité,amelia.anderson@student.edu
ST29962,Moreau,Alice,34,Management International,alice.moreau@student.edu
ST29939,Davis,Charlotte,35,Marketing Digital,charlotte.davis@student.edu
ST24970,Legrand,Adam,25,Management International,adam.legrand@student.edu
ST29453,Mercier,Sofia,20,Innovation Technologique,sofia.mercier@student.edu
ST21597,Mercier,Lucas,31,Entrepreneuriat,lucas.mercier@student.edu
ST28954,Brown,Olivia,29,Management International,olivia.brown@student.edu
ST23888,Garcia,Oliver,18,Cybersécurité,oliver.garcia@student.edu
ST27500,Garcia,Benjamin,32,Finance,benjamin.garcia@student.edu
ST25712,Petit,Hugo,25,Business,hugo.petit@student.edu
ST24403,Robert,Sarah,18,Innovation Technologique,sarah.robert@student.edu
ST22804,Moreau,Amelia,21,Data Science,amelia.moreau@student.edu
ST21522,Garcia,Elijah,23,Marketing Digital,elijah.garcia@student.edu
ST25202,Garnier,Gabriel,33,Marketing Digital,gabriel.garnier@student.edu
ST29431,Petit,Mia,29,Data Science,mia.petit@student.edu
ST22816,Morel,Hugo,27,Commerce International,hugo.morel@student.edu
ST24502,Martinez,Oliver,20,Marketing Digital,oliver.martinez@student.edu
ST23908,Miller,Lucas,21,Marketing Digital,lucas.miller@student.edu
ST25902,Martin,Léo,19,Management International,léo.martin@student.edu
ST20632,Miller,Emma,33,Innovation Technologique,emma.miller@student.edu
ST23920,Petit,Benjamin,32,Cybersécurité,benjamin.petit@student.edu
ST27150,Durand,Abigail,19,Finance,abigail.durand@student.edu
ST27179,Lefevre,Charlotte,31,Finance,charlotte.lefevre@student.edu
ST20067,Petit,Inès,23,Management International,inès.petit@student.edu
ST28724,Bertrand,Liam,18,Data Science,liam.bertrand@student.edu
ST27343,Petit,Alice,33,Marketing Digital,alice.petit@student.edu
ST20061,Faure,Olivia,25,Business,olivia.faure@student.edu
ST26838,Bernard,Hugo,32,Marketing Digital,hugo.bernard@student.edu
ST23565,Girard,Léa,33,Entrepreneuriat,léa.girard@student.edu
ST28258,Moreau,Amelia,24,Marketing Digital,amelia.moreau@student.edu
ST24157,Bernard,Nathan,29,Innovation Technologique,nathan.bernard@student.edu
ST24331,Jones,Inès,25,Intelligence Artificielle,inès.jones@student.edu
ST25942,Miller,Sofia,21,Finance,sofia.miller@student.edu
ST23259,Laurent,Inès,25,Business,inès.laurent@student.edu
ST23445,Mercier,Amelia,32,Cybersécurité,amelia.mercier@student.edu
ST21130,Petit,Clara,33,Finance,clara.petit@student.edu
ST24446,Taylor,Camille,34,Data Science,camille.taylor@student.edu
ST24486,Garcia,Arthur,28,Commerce International,arthur.garcia@student.edu
ST27993,Davis,Mia,27,Data Science,mia.davis@student.edu
ST26345,Lefebvre,William,21,Innovation Technologique,william.lefebvre@student.edu
ST20720,Vincent,Clara,20,Cybersécurité,clara.vincent@student.edu
ST24652,Bonnet,Emma,21,Business,emma.bonnet@student.edu
ST20098,Andre,Amelia,18,Business,amelia.andre@student.edu
ST28202,Bertrand,Hugo,28,Commerce International,hugo.bertrand@student.edu
ST26504,Michel,Arthur,28,Marketing Digital,arthur.michel@student.edu
ST25931,Wilson,Gabriel,25,Business,gabriel.wilson@student.edu
ST26220,Legrand,Benjamin,24,Innovation Technologique,benjamin.legrand@student.edu
ST27023,Taylor,Sofia,22,Business,sofia.taylor@student.edu
ST21872,Mercier,Henry,21,Management International,henry.mercier@student.edu
ST25594,Andre,Olivia,22,Marketing Digital,olivia.andre@student.edu
ST23443,Johnson,Isabella,22,Marketing Digital,isabella.johnson@student.edu
ST27588,Brown,Manon,26,Marketing Digital,manon.brown@student.edu
ST27605,Dubois,William,33,Cybersécurité,william.dubois@student.edu
ST25599,Brown,Jack,34,Data Science,jack.brown@student.edu
ST20098,Simon,William,25,Intelligence Artificielle,william.simon@student.edu
ST27821,Martinez,Camille,35,Cybersécurité,camille.martinez@student.edu
ST22273,David,Hugo,26,Intelligence Artificielle,hugo.david@student.edu
ST21207,Durand,Abigail,21,Data Science,abigail.durand@student.edu
ST22152,Faure,William,23,Data Science,william.faure@student.edu
ST21605,Johnson,Isabella,25,Commerce International,isabella.johnson@student.edu
ST20709,Martin,Amelia,26,Intelligence Artificielle,amelia.martin@student.edu
ST22100,Bernard,Sarah,30,Entrepreneuriat,sarah.bernard@student.edu
ST24227,Garnier,Amelia,21,Marketing Digital,amelia.garnier@student.edu
ST29841,Roux,Theodore,28,Innovation Technologique,theodore.roux@student.edu
ST24850,Garnier,Mia,20,Innovation Technologique,mia.garnier@student.edu
ST20153,Bertrand,Theodore,22,Innovation Technologique,theodore.bertrand@student.edu
ST27713,Garnier,Léo,28,Innovation Technologique,léo.garnier@student.edu
ST23498,Roux,Lucas,18,Data Science,lucas.roux@student.edu
ST26735,Jones,Hugo,29,Cybersécurité,hugo.jones@student.edu
ST28368,Morel,Camille,25,Data Science,camille.morel@student.edu
ST21675,Brown,Harper,30,Innovation Technologique,harper.brown@student.edu
ST24064,David,Isabella,27,Management International,isabella.david@student.edu
ST20492,Bernard,Abigail,32,Business,abigail.bernard@student.edu
ST23036,Mercier,Emma,20,Cybersécurité,emma.mercier@student.edu
ST23732,Martin,Hugo,19,Innovation Technologique,hugo.martin@student.edu
ST20188,Thomas,Ethan,28,Management International,ethan.thomas@student.edu
ST29182,Faure,Alice,24,Innovation Technologique,alice.faure@student.edu
ST20207,Dubois,Liam,25,Marketing Digital,liam.dubois@student.edu
ST20211,Garnier,James,30,Data Science,james.garnier@student.edu
ST25328,Michel,Evelyn,18,Cybersécurité,evelyn.michel@student.edu
ST23381,Miller,Theodore,18,Intelligence Artificielle,theodore.miller@student.edu
ST26437,Davis,Ethan,32,Data Science,ethan.davis@student.edu
ST27157,Laurent,Elijah,25,Marketing Digital,elijah.laurent@student.edu
ST27721,Thomas,James,35,Commerce International,james.thomas@student.edu
ST27880,David,Noah,20,Intelligence Artificielle,noah.david@student.edu
ST29649,Taylor,Evelyn,18,Commerce International,evelyn.taylor@student.edu
ST20825,Miller,Isabella,30,Innovation Technologique,isabella.miller@student.edu
ST26860,Martinez,Alice,22,Finance,alice.martinez@student.edu
ST29997,Petit,Harper,31,Cybersécurité,harper.petit@student.edu
ST27268,Mercier,Isabella,30,Commerce International,isabella.mercier@student.edu
ST29176,Martinez,Benjamin,25,Cybersécurité,benjamin.martinez@student.edu
ST28238,Martinez,Theodore,34,Intelligence Artificielle,theodore.martinez@student.edu
ST27713,François,Arthur,24,Marketing Digital,arthur.françois@student.edu
ST25072,Richard,Hugo,28,Marketing Digital,hugo.richard@student.edu
ST24565,Andre,Arthur,22,Intelligence Artificielle,arthur.andre@student.edu
ST28173,Garcia,Louise,26,Finance,louise.garcia@student.edu
ST29807,Wilson,Arthur,21,Finance,arthur.wilson@student.edu
ST28015,David,Clara,24,Intelligence Artificielle,clara.david@student.edu
ST24495,Faure,Theodore,30,Management International,theodore.faure@student.edu
ST29776,Laurent,Harper,29,Data Science,harper.laurent@student.edu
ST29268,Williams,Olivia,29,Innovation Technologique,olivia.williams@student.edu
ST25663,Moore,Sophia,34,Marketing Digital,sophia.moore@student.edu
ST28640,Garcia,Léa,24,Management International,léa.garcia@student.edu
ST20439,Brown,Olivia,21,Finance,olivia.brown@student.edu
ST25506,Thomas,Sofia,20,Intelligence Artificielle,sofia.thomas@student.edu
ST22134,Martin,William,25,Management International,william.martin@student.edu
ST28585,Michel,Louis,34,Business,louis.michel@student.edu
ST25687,Michel,Benjamin,22,Intelligence Artificielle,benjamin.michel@student.edu
ST27028,Morel,Harper,22,Entrepreneuriat,harper.morel@student.edu
ST24312,Martinez,Chloé,34,Business,chloé.martinez@student.edu
ST23760,Legrand,Hugo,27,Cybersécurité,hugo.legrand@student.edu
ST27689,Miller,Léo,29,Commerce International,léo.miller@student.edu
ST21211,Lefebvre,Ethan,31,Commerce International,ethan.lefebvre@student.edu
ST28361,Michel,Nathan,23,Marketing Digital,nathan.michel@student.edu
ST28881,Bertrand,Jack,34,Business,jack.bertrand@student.edu
ST26946,Mercier,Gabriel,26,Marketing Digital,gabriel.mercier@student.edu
ST27834,Brown,Camille,31,Business,camille.brown@student.edu
ST26812,Mercier,Lucas,21,Management International,lucas.mercier@student.edu
ST27222,Andre,Sofia,19,Business,sofia.andre@student.edu
ST27706,Andre,Léo,25,Management International,léo.andre@student.edu
ST27066,Martin,Evelyn,20,Finance,evelyn.martin@student.edu
ST23153,Roux,Manon,34,Entrepreneuriat,manon.roux@student.edu
ST20029,Bernard,William,25,Entrepreneuriat,william.bernard@student.edu
ST25884,Thomas,Olivia,21,Commerce International,olivia.thomas@student.edu
ST28763,Moreau,Sarah,30,Innovation Technologique,sarah.moreau@student.edu
ST23549,Johnson,Clara,19,Innovation Technologique,clara.johnson@student.edu
ST21050,Taylor,Emma,26,Commerce International,emma.taylor@student.edu
ST21070,François,Elijah,26,Commerce International,elijah.françois@student.edu
ST26529,Martinez,Liam,23,Intelligence Artificielle,liam.martinez@student.edu
ST25207,Laurent,Charlotte,20,Entrepreneuriat,charlotte.laurent@student.edu
ST21690,François,Henry,34,Commerce International,henry.françois@student.edu
ST29612,Williams,Gabriel,26,Data Science,gabriel.williams@student.edu
ST21605,Brown,Elijah,25,Business,elijah.brown@student.edu
ST24673,Martin,Oliver,32,Data Science,oliver.martin@student.edu
ST21866,Legrand,Louise,22,Business,louise.legrand@student.edu
ST20032,Anderson,Camille,24,Data Science,camille.anderson@student.edu
ST21343,Mercier,Charlotte,31,Management International,charlotte.mercier@student.edu
ST29442,Durand,Jules,31,Management International,jules.durand@student.edu
ST20289,Morel,William,23,Innovation Technologique,william.morel@student.edu
ST27633,Moore,Manon,30,Commerce International,manon.moore@student.edu
ST27907,Martin,Amelia,35,Commerce International,amelia.martin@student.edu
ST24157,Dubois,Theodore,26,Finance,theodore.dubois@student.edu
ST25886,Roux,Charlotte,35,Cybersécurité,charlotte.roux@student.edu
ST21866,Garnier,Léo,21,Data Science,léo.garnier@student.edu
ST27645,Michel,Mia,21,Finance,mia.michel@student.edu
ST22250,Faure,William,27,Marketing Digital,william.faure@student.edu
ST24135,Lefebvre,Gabriel,33,Innovation Technologique,gabriel.lefebvre@student.edu
ST20123,Laurent,Jack,35,Innovation Technologique,jack.laurent@student.edu
ST26523,Andre,Jack,21,Innovation Technologique,jack.andre@student.edu
ST23899,Vincent,Sarah,25,Business,sarah.vincent@student.edu
ST22463,Petit,Arthur,20,Entrepreneuriat,arthur.petit@student.edu
ST27295,Richard,Jack,29,Cybersécurité,jack.richard@student.edu
ST27127,David,Noah,26,Commerce International,noah.david@student.edu
ST20089,Garnier,Emma,22,Finance,emma.garnier@student.edu
ST25020,Martin,Elijah,33,Commerce International,elijah.martin@student.edu
ST24674,Miller,Lucas,20,Cybersécurité,lucas.miller@student.edu
ST28198,Bernard,Harper,20,Entrepreneuriat,harper.bernard@student.edu
ST22053,Anderson,Theodore,19,Intelligence Artificielle,theodore.anderson@student.edu
ST29692,Brown,Alice,29,Marketing Digital,alice.brown@student.edu
ST25964,David,Léa,28,Management International,léa.david@student.edu
ST27603,Martin,Theodore,34,Data Science,theodore.martin@student.edu
ST28829,Michel,Benjamin,29,Management International,benjamin.michel@student.edu
ST29435,Garnier,Manon,32,Entrepreneuriat,manon.garnier@student.edu
ST24446,Johnson,Evelyn,34,Innovation Technologique,evelyn.johnson@student.edu
ST29999,Johnson,Inès,19,Innovation Technologique,inès.johnson@student.edu
ST26479,Brown,James,26,Intelligence Artificielle,james.brown@student.edu
ST27006,Dubois,Louis,34,Data Science,louis.dubois@student.edu
ST21584,Martin,Liam,29,Finance,liam.martin@student.edu
ST25783,Moore,Sarah,20,Business,sarah.moore@student.edu
ST22442,Roux,Nathan,18,Cybersécurité,nathan.roux@student.edu
ST22786,Brown,William,18,Cybersécurité,william.brown@student.edu
ST21269,Morel,Charlotte,24,Innovation Technologique,charlotte.morel@student.edu
ST28379,Robert,Inès,32,Finance,inès.robert@student.edu
ST24876,Morel,Noah,20,Intelligence Artificielle,noah.morel@student.edu
ST25746,Martinez,Elijah,31,Intelligence Artificielle,elijah.martinez@student.edu
ST29685,Wilson,Olivia,32,Marketing Digital,olivia.wilson@student.edu
ST28407,David,Sofia,35,Data Science,sofia.david@student.edu
ST23266,Roux,William,33,Management International,william.roux@student.edu
ST26016,Bonnet,Jules,20,Entrepreneuriat,jules.bonnet@student.edu
ST23812,Lefebvre,Sophia,23,Commerce International,sophia.lefebvre@student.edu
ST20366,Bonnet,Jack,21,Intelligence Artificielle,jack.bonnet@student.edu
ST25001,Bertrand,Abigail,18,Commerce International,abigail.bertrand@student.edu
ST28017,Johnson,Lucas,24,Data Science,lucas.johnson@student.edu
ST28563,Mercier,Theodore,19,Management International,theodore.mercier@student.edu
ST20899,Moore,Evelyn,34,Cybersécurité,evelyn.moore@student.edu
ST26883,Garcia,James,35,Cybersécurité,james.garcia@student.edu
ST25705,Jones,Alice,35,Entrepreneuriat,alice.jones@student.edu
ST25233,Williams,Sophia,20,Commerce International,sophia.williams@student.edu
ST23791,Girard,James,20,Marketing Digital,james.girard@student.edu
ST23909,Durand,Isabella,24,Management International,isabella.durand@student.edu
ST26368,Fournier,Mia,24,Finance,mia.fournier@student.edu
ST24288,David,Oliver,27,Finance,oliver.david@student.edu
ST28038,Williams,Clara,32,Data Science,clara.williams@student.edu
ST25417,Garcia,Abigail,32,Intelligence Artificielle,abigail.garcia@student.edu
ST27744,Fournier,Charlotte,20,Business,charlotte.fournier@student.edu
ST29521,David,Sofia,33,Business,sofia.david@student.edu
ST20247,Taylor,Jack,26,Business,jack.taylor@student.edu
ST22005,Vincent,Adam,28,Finance,adam.vincent@student.edu
ST21631,Bernard,Theodore,28,Marketing Digital,theodore.bernard@student.edu
ST23571,Bonnet,Léo,19,Data Science,léo.bonnet@student.edu
ST27827,Williams,James,25,Intelligence Artificielle,james.williams@student.edu
ST21707,Garcia,Chloé,31,Management International,chloé.garcia@student.edu
ST20024,Miller,Jules,26,Intelligence Artificielle,jules.miller@student.edu
ST29556,Richard,Amelia,28,Finance,amelia.richard@student.edu
ST29244,Garcia,Alice,18,Cybersécurité,alice.garcia@student.edu
ST29821,Vincent,Ethan,20,Innovation Technologique,ethan.vincent@student.edu
ST25854,Moore,Arthur,25,Management International,arthur.moore@student.edu
ST28417,François,Emma,28,Management International,emma.françois@student.edu
ST22009,Wilson,Benjamin,30,Business,benjamin.wilson@student.edu
ST20902,Vincent,Sofia,29,Management International,sofia.vincent@student.edu
ST24657,Simon,Arthur,20,Management International,arthur.simon@student.edu
ST22568,Garcia,Elijah,24,Business,elijah.garcia@student.edu
ST24561,Dubois,Nathan,31,Management International,nathan.dubois@student.edu
ST20526,Martinez,Amelia,24,Commerce International,amelia.martinez@student.edu
ST28405,Lefevre,Abigail,23,Cybersécurité,abigail.lefevre@student.edu
ST27435,David,Ethan,32,Commerce International,ethan.david@student.edu
ST25704,Johnson,Mia,32,Management International,mia.johnson@student.edu
ST26125,Morel,Nathan,18,Marketing Digital,nathan.morel@student.edu
ST22935,Bernard,James,29,Cybersécurité,james.bernard@student.edu
ST24349,Laurent,Ethan,25,Cybersécurité,ethan.laurent@student.edu
ST23096,Girard,Adam,31,Management International,adam.girard@student.edu
ST29462,Davis,Manon,34,Commerce International,manon.davis@student.edu
ST25127,Richard,Ethan,24,Commerce International,ethan.richard@student.edu
ST24413,Simon,Elijah,22,Data Science,elijah.simon@student.edu
ST21844,Johnson,Isabella,29,Marketing Digital,isabella.johnson@student.edu
ST28750,Davis,Isabella,33,Intelligence Artificielle,isabella.davis@student.edu
ST29014,Wilson,Gabriel,23,Entrepreneuriat,gabriel.wilson@student.edu
ST29232,Girard,Oliver,29,Marketing Digital,oliver.girard@student.edu
ST21090,Petit,Oliver,19,Marketing Digital,oliver.petit@student.edu
ST26437,Anderson,Theodore,32,Entrepreneuriat,theodore.anderson@student.edu
ST20624,François,Charlotte,27,Entrepreneuriat,charlotte.françois@student.edu
ST24680,Legrand,Elijah,28,Business,elijah.legrand@student.edu
ST21991,Martinez,Inès,33,Innovation Technologique,inès.martinez@student.edu
ST20771,Garcia,Noah,29,Cybersécurité,noah.garcia@student.edu
ST23646,David,Charlotte,19,Business,charlotte.david@student.edu
ST25194,Morel,Sophia,24,Management International,sophia.morel@student.edu
ST22193,Lefebvre,Oliver,29,Marketing Digital,oliver.lefebvre@student.edu
ST23801,Miller,Louise,30,Entrepreneuriat,louise.miller@student.edu
ST28239,Jones,Oliver,24,Intelligence Artificielle,oliver.jones@student.edu
ST20722,Mercier,Sarah,32,Entrepreneuriat,sarah.mercier@student.edu
ST27218,Morel,Louise,27,Intelligence Artificielle,louise.morel@student.edu
ST28646,Legrand,Isabella,22,Cybersécurité,isabella.legrand@student.edu
ST20374,Garcia,Hugo,24,Data Science,hugo.garcia@student.edu
ST21971,Martin,Oliver,29,Finance,oliver.martin@student.edu
ST28688,Davis,Liam,30,Innovation Technologique,liam.davis@student.edu
ST20551,Durand,Lucas,26,Business,lucas.durand@student.edu
ST27755,Wilson,Theodore,32,Management International,theodore.wilson@student.edu
ST20547,Legrand,Charlotte,35,Innovation Technologique,charlotte.legrand@student.edu
ST20571,Wilson,Clara,18,Entrepreneuriat,clara.wilson@student.edu
ST29464,Durand,Evelyn,33,Intelligence Artificielle,evelyn.durand@student.edu
ST21832,Moore,Sarah,23,Data Science,sarah.moore@student.edu
ST23958,Bernard,Hugo,19,Innovation Technologique,hugo.bernard@student.edu
ST24846,Fournier,Henry,18,Management International,henry.fournier@student.edu
ST24287,Bertrand,Alice,18,Innovation Technologique,alice.bertrand@student.edu
ST22836,Fournier,Olivia,23,Cybersécurité,olivia.fournier@student.edu
ST20195,Laurent,Noah,35,Innovation Technologique,noah.laurent@student.edu
ST23868,Moreau,Noah,24,Entrepreneuriat,noah.moreau@student.edu
ST26539,Moreau,Harper,33,Management International,harper.moreau@student.edu
ST25782,Bertrand,Sofia,33,Intelligence Artificielle,sofia.bertrand@student.edu
ST21669,Jones,Noah,26,Intelligence Artificielle,noah.jones@student.edu
ST28816,Bonnet,Camille,28,Commerce International,camille.bonnet@student.edu
ST25918,Bertrand,Liam,30,Cybersécurité,liam.bertrand@student.edu
ST21709,Morel,Alice,30,Entrepreneuriat,alice.morel@student.edu
ST21422,Fournier,Nathan,24,Entrepreneuriat,nathan.fournier@student.edu
ST20237,Bernard,Olivia,28,Management International,olivia.bernard@student.edu
ST24582,Girard,Olivia,27,Entrepreneuriat,olivia.girard@student.edu
ST20021,Garnier,Léo,22,Commerce International,léo.garnier@student.edu
ST26841,Lefebvre,Jules,20,Commerce International,jules.lefebvre@student.edu
ST20979,Durand,Arthur,23,Commerce International,arthur.durand@student.edu
ST24081,Morel,Olivia,35,Data Science,olivia.morel@student.edu
ST20394,Garnier,Camille,28,Marketing Digital,camille.garnier@student.edu
ST29100,Andre,Chloé,32,Intelligence Artificielle,chloé.andre@student.edu
ST23088,Jones,Amelia,33,Intelligence Artificielle,amelia.jones@student.edu
ST27187,Martinez,Hugo,22,Finance,hugo.martinez@student.edu
ST28830,Robert,Sofia,21,Finance,sofia.robert@student.edu
ST27101,Mercier,Charlotte,34,Intelligence Artificielle,charlotte.mercier@student.edu
ST23461,Girard,Nathan,30,Intelligence Artificielle,nathan.girard@student.edu
ST22307,Vincent,Hugo,28,Management International,hugo.vincent@student.edu
ST27844,Legrand,Noah,29,Management International,noah.legrand@student.edu
ST23322,Bonnet,Sofia,32,Finance,sofia.bonnet@student.edu
ST24114,Williams,Clara,23,Cybersécurité,clara.williams@student.edu
ST26939,Michel,Isabella,19,Intelligence Artificielle,isabella.michel@student.edu
ST21028,Fournier,Isabella,31,Cybersécurité,isabella.fournier@student.edu
ST27550,Simon,Clara,23,Intelligence Artificielle,clara.simon@student.edu
ST26867,Williams,Camille,27,Data Science,camille.williams@student.edu
ST27184,Michel,Manon,27,Intelligence Artificielle,manon.michel@student.edu
ST29572,Miller,Adam,25,Innovation Technologique,adam.miller@student.edu
ST23002,Faure,Abigail,25,Entrepreneuriat,abigail.faure@student.edu
ST22890,Richard,Henry,25,Management International,henry.richard@student.edu
ST24409,Miller,Manon,34,Data Science,manon.miller@student.edu
ST23937,Thomas,Oliver,21,Management International,oliver.thomas@student.edu
ST29602,Wilson,Isabella,20,Finance,isabella.wilson@student.edu
ST27000,Vincent,Louise,18,Finance,louise.vincent@student.edu
ST25993,Girard,Sarah,33,Intelligence Artificielle,sarah.girard@student.edu
ST20336,Dubois,Chloé,27,Intelligence Artificielle,chloé.dubois@student.edu
ST28531,Taylor,Theodore,19,Marketing Digital,theodore.taylor@student.edu
ST22090,Durand,Camille,23,Marketing Digital,camille.durand@student.edu
ST23364,Jones,Sarah,21,Data Science,sarah.jones@student.edu
ST24977,Faure,Liam,33,Marketing Digital,liam.faure@student.edu
ST29802,Bernard,William,29,Marketing Digital,william.bernard@student.edu
ST26607,Laurent,Theodore,32,Innovation Technologique,theodore.laurent@student.edu
ST25984,Bonnet,Inès,31,Data Science,inès.bonnet@student.edu
ST28459,Anderson,Léo,32,Business,léo.anderson@student.edu
ST21145,Moore,Clara,24,Finance,clara.moore@student.edu
ST28994,Richard,Camille,28,Business,camille.richard@student.edu
ST27999,Legrand,Henry,29,Marketing Digital,henry.legrand@student.edu
ST22668,Simon,Jack,23,Cybersécurité,jack.simon@student.edu
ST29481,Laurent,Inès,27,Commerce International,inès.laurent@student.edu
ST26821,Morel,Arthur,31,Marketing Digital,arthur.morel@student.edu
ST26790,Martin,Chloé,26,Management International,chloé.martin@student.edu
ST22273,Wilson,Sofia,31,Management International,sofia.wilson@student.edu
ST23506,Petit,Henry,30,Commerce International,henry.petit@student.edu
ST20326,Richard,Theodore,31,Intelligence Artificielle,theodore.richard@student.edu
ST22295,Brown,Arthur,19,Finance,arthur.brown@student.edu
ST22400,Simon,Sophia,24,Entrepreneuriat,sophia.simon@student.edu
ST28102,Moreau,Hugo,18,Cybersécurité,hugo.moreau@student.edu
ST23442,Garnier,Henry,35,Cybersécurité,henry.garnier@student.edu
ST29504,Wilson,Evelyn,18,Finance,evelyn.wilson@student.edu
